"department","sub_department","department_id","category","sub_category","micro_category","title","description","skill_code","related_skills","bussiness_links","custom_tags","proficiency_level","job_titles","learning_resources","assesment_method","certification_qualifications","experience_project","skill_maps","skill_status","skill_importance","legal_compliance_relevance","sop_practice_link","performance_metrics","common_errors_tips","sme_contacts","sub_skills","skill_flow","tasklist","status","approve_status","sub_institute_id","created_by","updated_by","deleted_by","created_at","updated_at","deleted_at"
"Assurance","Assurance","838","Compliance & Regulatory Skills","Industry Compliance","Assurance","Auditing and Assurance Standards","Use applicable auditing and assurance standards to carry out auditing and assurance activities","ACC-AUD-4001-1.1","[""Auditing Standards"",""Assurance Frameworks"",""Compliance Auditing""]","https://en.wikipedia.org/wiki/International_Standards_on_Auditing","[""Auditing Standards"",""Assurance Compliance"",""Regulatory Auditing""]","4",,,"Written Exams,Practical Audits","CA,ICAI Certifications,CISA","Conducting statutory audits,Internal audit projects",,"High-demand","High","Mandatory under Companies Act 2013 and ICAI guidelines","https://www.icai.org/post.html?post_id=14505","Audit Accuracy,Compliance Rate,Report Timeliness","Incomplete documentation,Non-compliance with standards","Chartered Accountant,Internal Auditor","Audit Planning,Evidence Gathering,Reporting","Understand standards,Plan audit,Execute procedures,Review evidence,Issue report","Review financial statements,Verify transactions,Prepare audit report","Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Financial Accounting","Financial Accounting","841","Compliance & Regulatory Skills","Industry Compliance","Assurance","Audit Frameworks","Develop quality assurance frameworks to meet regulatory requirements","ACC-AUD-4003-1.1","[""Quality Assurance"",""Regulatory Compliance"",""Framework Development""]","https://en.wikipedia.org/wiki/Quality_management_system","[""Quality Assurance"",""Audit Framework"",""Regulatory Compliance""]","4",,,"Framework Evaluation,Case Studies","ISO 9001 Lead Auditor,CA","Developing QA frameworks for firms",,"High-demand","High","Aligns with SEBI and RBI compliance requirements","https://www.iso.org/iso-9001-quality-management.html","Framework Effectiveness,Compliance Rate","Poor risk assessment,Inadequate control measures","Quality Manager,Compliance Officer","Risk Assessment,Control Design,Implementation","Define objectives,Identify risks,Design controls,Implement,Monitor","Develop audit plans,Establish quality controls,Train staff","Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Assurance","Assurance","838","Compliance & Regulatory Skills","Industry Compliance","Assurance","Engagement Completion and Reporting","Perform procedures involved prior to expressing an opinion","ACC-AUD-4004-1.1","[""Audit Reporting"",""Assurance Procedures"",""Opinion Formulation""]","https://en.wikipedia.org/wiki/Audit_report","[""Audit Reporting"",""Opinion Formulation"",""Assurance""]","4",,,"Report Review,Practical Assessment","CA,ICAI Certification","Finalizing audit engagements,Issuing audit reports",,"High-demand","High","Required by Companies Act for annual audits","https://www.icai.org/post.html?post_id=14506","Report Accuracy,Timeliness","Incorrect opinion,Missing disclosures","Audit Partner,Senior Auditor","Drafting Reports,Reviewing Evidence","Complete procedures,Review findings,Draft report,Obtain approval,Issue","Prepare audit summary,Document conclusions,Issue opinion","Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Assurance","Assurance","838","Compliance & Regulatory Skills","Industry Compliance","Assurance","Engagement Execution","Perform assurance procedures in accordance with the engagement plans","ACC-AUD-4005-1.1","[""Assurance Procedures"",""Audit Execution"",""Compliance Testing""]","https://en.wikipedia.org/wiki/Financial_audit","[""Audit Execution"",""Assurance Procedures"",""Testing""]","3",,,"Practical Audits,Simulations","CA Inter,CISA","Performing audit procedures,Testing controls",,"High-demand","High","Mandatory for statutory and internal audits","https://www.icai.org/","Procedure Completion,Error Detection","Sampling errors,Control override","Audit Manager,Internal Auditor","Testing,Documentation,Evaluation","Plan procedures,Execute tests,Document results,Evaluate findings","Conduct substantive tests,Test internal controls,Document work","Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Assurance","Assurance","838","Compliance & Regulatory Skills","Industry Compliance","Assurance","Engagement Planning","Develop engagement plans which describe the nature, timing and extent of planned engagement procedures","ACC-AUD-4006-1.1","[""Audit Planning"",""Risk Assessment"",""Procedure Design""]","https://en.wikipedia.org/wiki/Audit_plan","[""Audit Planning"",""Risk Assessment"",""Procedure Design""]","4",,,"Plan Evaluation,Case Studies","CA,CIA","Designing audit plans,Risk assessment projects",,"High-demand","High","Required by auditing standards in India","https://www.icai.org/","Plan Adequacy,Risk Coverage","Inadequate risk assessment,Poor resource allocation","Audit Manager,Risk Analyst","Risk Identification,Resource Allocation","Understand entity,Assess risks,Plan procedures,Allocate resources","Define audit scope,Set objectives,Plan procedures","Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Assurance","Assurance","838","Compliance & Regulatory Skills","Industry Compliance","Assurance","Engagement Quality Control","Set up control procedures for an assurance engagement","ACC-AUD-4007-1.1","[""Quality Control"",""Audit Standards"",""Compliance Monitoring""]","https://en.wikipedia.org/wiki/Quality_control","[""Quality Control"",""Audit Standards"",""Compliance""]","4",,,"Quality Reviews,Checklists","ISO 9001,CA","Implementing quality control in audit firms",,"High-demand","High","ICAI quality control standards apply","https://www.icai.org/","Error Rate,Compliance Rate","Lack of supervision,Inadequate review","Quality Control Partner,Audit Director","Review Procedures,Monitoring","Establish policies,Implement controls,Monitor,Review","Set quality policies,Conduct reviews,Monitor compliance","Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Assurance","Assurance","838","Compliance & Regulatory Skills","Industry Compliance","Assurance","Engagement Review","Review evidence obtained, procedures performed, and conclusions reached for the engagement","ACC-AUD-4008-1.1","[""Audit Review"",""Evidence Evaluation"",""Procedure Assessment""]","https://en.wikipedia.org/wiki/Peer_review","[""Audit Review"",""Evidence Evaluation"",""Quality Assurance""]","4",,,"Peer Review,Checklists","CA,Peer Review Certificate","Reviewing audit files,Quality assurance checks",,"High-demand","High","Peer review mandatory for audit firms","https://www.icai.org/","Review Completeness,Issue Identification","Overlooking errors,Inadequate documentation","Review Partner,Quality Manager","File Review,Checklist Completion","Select files,Review documentation,Evaluate evidence,Report findings","Examine audit workpapers,Verify evidence,Provide feedback","Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Internal Audit","Internal Audit","844","Compliance & Regulatory Skills","Industry Compliance","Assurance","Auditor Independence","Possess the state of mind and appearance whereby integrity, objectivity or professional scepticism are not compromised","ACC-PVE-3001-1.1","[""Independence Standards"",""Ethical Compliance"",""Professional Scepticism""]","https://en.wikipedia.org/wiki/Auditor_independence","[""Auditor Independence"",""Ethics"",""Professional Scepticism""]","5",,,"Ethics Exams,Case Studies","CA,ICAI Ethics Code","Maintaining independence in audit assignments",,"High-demand","High","ICAI Code of Ethics mandates independence","https://www.icai.org/","Independence Compliance,Conflict Avoidance","Conflict of interest,Self-interest threats","Ethics Partner,Compliance Officer","Conflict Checks,Disclosure","Identify threats,Evaluate significance,Safeguards,Disclose","Perform independence checks,Disclose interests,Avoid conflicts","Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Enterprise Risk Management","Enterprise Risk Management","840","Cognitive & Thinking Skills","Analytical Reasoning","Business Management","Systems Thinking","Understand complexity of cause-and-effect relationships of systems and processes across the organisation, as well as evaluate systems based on the value-creation and contribution to specific issues","ACC-ACE-3007-1.1","[""System Analysis"",""Complexity Management"",""Value Evaluation""]","https://en.wikipedia.org/wiki/Systems_thinking","[""Systems Thinking"",""Complexity Analysis"",""Value Creation""]","4",,,"Case Analysis,Simulations","Six Sigma,Management Courses","Analyzing organizational systems,Process optimization",,"Emerging","Medium","Applies to corporate governance and risk management","https://www.inc.com/encyclopedia/systems-thinking.html","System Efficiency,Problem Resolution","Over-simplification,Ignoring interconnections","Systems Analyst,Business Architect","System Mapping,Relationship Analysis","Identify components,Analyze interactions,Evaluate impact,Optimize","Map processes,Identify bottlenecks,Propose improvements","Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Assurance","Assurance","838","Cognitive & Thinking Skills","Critical Thinking","Business Management","Professional Scepticism and Judgment","Assess evidence to make informed decisions about the appropriate course of action","ACC-AUD-3009-1.1","[""Critical Thinking"",""Evidence Assessment"",""Decision Making""]","https://en.wikipedia.org/wiki/Professional_skepticism","[""Professional Scepticism"",""Critical Thinking"",""Judgment""]","4",,,"Scenario Tests,Judgment Exercises","CA,CFA","Evaluating audit evidence,Making informed decisions",,"High-demand","High","Essential for audit quality and fraud detection","https://www.icai.org/","Decision Accuracy,Error Detection","Confirmation bias,Over-reliance on management","Audit Manager,Forensic Accountant","Evidence Evaluation,Hypothesis Testing","Gather evidence,Question assumptions,Evaluate alternatives,Decide","Assess information,Challenge assertions,Form conclusions","Active","Approved","1","1",,,"2025-07-16 18:27:19",,
